observer;date;weeknr;time;after_sunrise;area;visitordensity;species;size;herb_cover;shrub_cover;tree_cover;temp;wind;rain;FID
CJ;4-4-2009;14;7:11;-1;suburb;1000;Turdus philomelos;4.08;0.15;0.37;0.37;14;5;0.2;5.7
EB;4-4-2009;14;11:15;243;suburb;1000;Turdus philomelos;4.08;0.34;0.25;0.37;18;5;0.2;5.7
CJ;5-14-2009;19;8:25;150;suburb;1000;Columba palumbus;8.04;0.11;0.53;0.86;22;0;0.0;5.7
EB;3-28-2009;13;16:58;631;nature;10;Turdus merula;4.46;0.14;0.21;0.19;8;4;0.3;5.7
SS;4-20-2009;16;8:43;125;nature;10;Turdus merula;4.46;0.34;0.44;0.41;6;5;0.1;5.7
EB;5-10-2009;19;7:38;97;nature;10;Turdus philomelos;4.08;0.32;0.51;0.53;18;1;0.0;5.7
EB;4-2-2009;13;11:22;246;urban;10000;Prunella modularis;2.74;0.08;0.25;0.16;18;5;0.2;5.6
EB;4-7-2009;14;12:18;313;urban;10000;Turdus philomelos;4.08;0.08;0.34;0.33;12;2;0.0;5.6
EB;4-17-2009;15;14:09;445;urban;10000;Columba palumbus;8.04;0.26;0.48;0.52;9;5;0.1;5.6
CJ;4-8-2009;14;10:03;180;rural;100;Turdus merula;4.46;0.19;0.39;0.15;11;2;0.0;5.6
CJ;3-19-2009;11;7:57;69;suburb;1000;Turdus philomelos;4.08;0.18;0.21;0.11;9;6;0.0;5.6
SS;3-19-2009;11;11:00;252;suburb;1000;Erithacus rubecula;2.62;0.15;0.06;0.12;11;6;0.0;5.6
EB;4-9-2009;14;15:32;511;suburb;1000;Turdus merula;4.46;0.20;0.29;0.35;13;2;0.0;5.6
SS;4-19-2009;16;8:53;133;suburb;1000;Columba palumbus;8.04;0.54;0.34;0.45;6;5;0.1;5.6
CJ;4-19-2009;16;11:32;292;suburb;1000;Turdus philomelos;4.08;0.35;0.46;0.40;7;5;0.1;5.6
CJ;3-20-2009;11;7:50;65;nature;10;Erithacus rubecula;2.62;0.08;0.17;0.19;9;6;0.0;5.6
CJ;3-20-2009;11;10:38;233;nature;10;Prunella modularis;2.74;0.20;0.05;0.21;10;6;0.0;5.6
CJ;4-10-2009;14;8:44;105;nature;10;Columba palumbus;8.04;0.37;0.42;0.34;10;2;0.0;5.6
CJ;4-20-2009;16;8:02;84;nature;10;Turdus merula;4.46;0.51;0.42;0.53;5;5;0.1;5.6
EB;3-25-2009;12;17:15;641;urban;10000;Prunella modularis;2.74;0.11;0.22;0.22;8;4;0.3;5.5
SS;4-2-2009;13;8:38;82;urban;10000;Turdus philomelos;4.08;0.27;0.32;0.35;15;5;0.2;5.5
EB;4-17-2009;15;11:38;294;urban;10000;Turdus philomelos;4.08;0.32;0.43;0.33;8;5;0.1;5.5
CJ;3-18-2009;11;13:22;392;rural;100;Erithacus rubecula;2.62;0.03;0.14;0.04;12;6;0.0;5.5
EB;4-29-2009;17;8:42;142;rural;100;Turdus philomelos;4.08;0.16;0.35;0.64;13;0;0.4;5.5
CJ;4-29-2009;17;12:19;359;rural;100;Turdus merula;4.46;0.14;0.56;0.27;15;0;0.4;5.5
EB;5-13-2009;19;11:00;304;rural;100;Turdus merula;4.46;0.56;0.25;0.71;31;0;0.0;5.5
CJ;3-19-2009;11;8:07;79;suburb;1000;Turdus merula;4.46;0.17;0.18;0.15;9;6;0.0;5.5
CJ;4-5-2009;14;15:15;485;nature;10;Turdus philomelos;4.08;0.06;0.31;0.36;19;5;0.2;5.5
EB;3-17-2009;11;7:34;42;urban;10000;Erithacus rubecula;2.62;0.15;0.09;0.19;8;6;0.0;5.4
SS;3-25-2009;12;12:56;382;urban;10000;Turdus merula;4.46;0.25;0.22;0.13;10;4;0.3;5.4
EB;4-28-2009;17;7:25;63;urban;10000;Columba palumbus;8.04;0.36;0.54;0.66;13;0;0.4;5.4
SS;3-26-2009;12;7:10;38;rural;100;Turdus merula;4.46;0.11;0.10;0.28;6;4;0.3;5.4
SS;3-26-2009;12;12:23;351;rural;100;Turdus merula;4.46;0.08;0.25;0.23;10;4;0.3;5.4
CJ;4-3-2009;13;9:39;145;rural;100;Turdus philomelos;4.08;0.16;0.35;0.35;16;5;0.2;5.4
CJ;3-19-2009;11;11:32;284;suburb;1000;Turdus merula;4.46;0.05;0.22;0.09;11;6;0.0;5.4
EB;3-19-2009;11;12:11;323;suburb;1000;Turdus merula;4.46;0.12;0.15;0.05;11;6;0.0;5.4
EB;3-20-2009;11;15:54;549;nature;10;Turdus merula;4.46;0.07;0.20;0.06;11;6;0.0;5.4
EB;4-20-2009;16;14:19;461;nature;10;Turdus merula;4.46;0.11;0.28;0.18;9;5;0.1;5.4
SS;3-17-2009;11;7:54;62;urban;10000;Turdus philomelos;4.08;0.06;0.18;0.16;9;6;0.0;5.3
CJ;4-17-2009;15;16:24;580;urban;10000;Columba palumbus;8.04;0.27;0.33;0.50;8;5;0.1;5.3
SS;3-26-2009;12;8:33;121;rural;100;Turdus merula;4.46;0.21;0.19;0.22;7;4;0.3;5.3
SS;4-3-2009;13;10:30;196;rural;100;Turdus merula;4.46;0.10;0.19;0.34;16;5;0.2;5.3
EB;4-3-2009;13;12:32;318;rural;100;Turdus merula;4.46;0.09;0.26;0.27;19;5;0.2;5.3
SS;4-18-2009;16;15:29;527;rural;100;Turdus merula;4.46;0.45;0.53;0.48;8;5;0.1;5.3
CJ;4-29-2009;17;14:09;469;rural;100;Turdus merula;4.46;0.57;0.43;0.47;14;0;0.4;5.3
CJ;3-19-2009;11;10:23;215;suburb;1000;Turdus merula;4.46;0.09;0.13;0.15;10;6;0.0;5.3
SS;3-27-2009;12;15:49;559;suburb;1000;Turdus merula;4.46;0.18;0.19;0.27;9;4;0.3;5.3
CJ;4-4-2009;14;7:52;40;suburb;1000;Prunella modularis;2.74;0.18;0.15;0.17;14;5;0.2;5.3
CJ;4-20-2009;16;7:16;38;nature;10;Turdus philomelos;4.08;0.34;0.05;0.59;5;5;0.1;5.3
CJ;4-20-2009;16;7:47;69;nature;10;Turdus merula;4.46;0.48;0.17;0.42;5;5;0.1;5.3
SS;3-25-2009;12;16:17;583;urban;10000;Prunella modularis;2.74;0.03;0.18;0.09;9;4;0.3;5.2
EB;5-12-2009;19;7:14;76;urban;10000;Turdus philomelos;4.08;0.50;0.57;0.70;19;0;0.0;5.2
CJ;3-18-2009;11;8:50;120;rural;100;Turdus merula;4.46;0.07;0.16;0.13;10;6;0.0;5.2
SS;3-26-2009;12;13:51;439;rural;100;Turdus merula;4.46;0.20;0.08;0.26;9;4;0.3;5.2
EB;4-3-2009;13;11:45;271;rural;100;Prunella modularis;2.74;0.23;0.23;0.25;18;5;0.2;5.2
EB;4-18-2009;16;7:28;46;rural;100;Turdus merula;4.46;0.17;0.29;0.44;5;5;0.1;5.2
CJ;3-27-2009;12;8:39;129;suburb;1000;Prunella modularis;2.74;0.13;0.11;0.27;7;4;0.3;5.2
EB;4-9-2009;14;14:34;453;suburb;1000;Turdus merula;4.46;0.42;0.33;0.29;14;2;0.0;5.2
CJ;5-10-2009;19;7:56;115;nature;10;Turdus merula;4.46;0.22;0.31;0.69;19;1;0.0;5.2
EB;3-17-2009;11;10:37;225;urban;10000;Columba palumbus;8.04;0.09;0.18;0.12;11;6;0.0;5.1
SS;3-25-2009;12;15:35;541;urban;10000;Columba palumbus;8.04;0.21;0.16;0.08;10;4;0.3;5.1
EB;4-7-2009;14;15:22;497;urban;10000;Pica pica;6.02;0.31;0.37;0.33;13;2;0.0;5.1
CJ;4-17-2009;15;9:43;179;urban;10000;Turdus philomelos;4.08;0.06;0.38;0.25;7;5;0.1;5.1
SS;3-26-2009;12;10:56;264;rural;100;Turdus merula;4.46;0.21;0.22;0.28;8;4;0.3;5.1
EB;4-3-2009;13;13:32;378;rural;100;Turdus merula;4.46;0.25;0.12;0.37;20;5;0.2;5.1
CJ;4-8-2009;14;12:59;356;rural;100;Turdus philomelos;4.08;0.16;0.21;0.38;12;2;0.0;5.1
CJ;4-18-2009;16;9:08;146;rural;100;Prunella modularis;2.74;0.04;0.37;0.32;6;5;0.1;5.1
SS;4-29-2009;17;14:35;495;rural;100;Turdus merula;4.46;0.15;0.15;0.27;14;0;0.4;5.1
EB;5-13-2009;19;12:21;385;rural;100;Columba palumbus;8.04;0.15;0.65;0.67;30;0;0.0;5.1
CJ;4-19-2009;16;14:56;496;suburb;1000;Prunella modularis;2.74;0.28;0.53;0.21;9;5;0.1;5.1
EB;4-30-2009;17;12:44;386;suburb;1000;Columba palumbus;8.04;0.60;0.46;0.26;15;0;0.4;5.1
EB;5-14-2009;19;14:06;491;suburb;1000;Turdus merula;4.46;0.05;0.46;0.32;29;0;0.0;5.1
SS;4-5-2009;14;11:35;265;nature;10;Erithacus rubecula;2.62;0.10;0.19;0.25;18;5;0.2;5.1
EB;4-20-2009;16;12:13;335;nature;10;Erithacus rubecula;2.62;0.40;0.45;0.51;9;5;0.1;5.1
EB;5-1-2009;17;15:04;527;nature;10;Turdus philomelos;4.08;0.49;0.29;0.69;14;0;0.4;5.1
EB;5-15-2009;19;7:07;73;nature;10;Erithacus rubecula;2.62;0.36;0.59;0.63;19;0;0.0;5.1
SS;3-17-2009;11;10:32;220;urban;10000;Turdus merula;4.46;0.12;0.17;0.16;10;6;0.0;5.0
CJ;3-25-2009;12;7:08;34;urban;10000;Pica pica;6.02;0.20;0.15;0.15;6;4;0.3;5.0
EB;3-25-2009;12;15:16;522;urban;10000;Turdus merula;4.46;0.20;0.06;0.07;9;4;0.3;5.0
SS;4-28-2009;17;8:50;148;urban;10000;Prunella modularis;2.74;0.16;0.11;0.51;13;0;0.4;5.0
EB;3-18-2009;11;12:57;367;rural;100;Turdus merula;4.46;0.10;0.19;0.03;12;6;0.0;5.0
CJ;3-26-2009;12;14:37;485;rural;100;Turdus philomelos;4.08;0.22;0.14;0.29;9;4;0.3;5.0
EB;4-3-2009;13;15:03;469;rural;100;Turdus merula;4.46;0.25;0.26;0.36;19;5;0.2;5.0
SS;4-18-2009;16;11:28;286;rural;100;Turdus merula;4.46;0.46;0.40;0.50;8;5;0.1;5.0
EB;4-18-2009;16;14:08;446;rural;100;Pica pica;6.02;0.41;0.23;0.51;9;5;0.1;5.0
EB;3-19-2009;11;15:11;503;suburb;1000;Prunella modularis;2.74;0.11;0.20;0.13;11;6;0.0;5.0
EB;3-27-2009;12;15:23;533;suburb;1000;Prunella modularis;2.74;0.07;0.22;0.17;10;4;0.3;5.0
SS;4-5-2009;14;14:07;417;nature;10;Turdus merula;4.46;0.36;0.36;0.25;20;5;0.2;5.0
EB;5-1-2009;17;10:42;265;nature;10;Columba palumbus;8.04;0.44;0.51;0.16;14;0;0.4;5.0
CJ;5-1-2009;17;15:11;534;nature;10;Turdus philomelos;4.08;0.24;0.50;0.50;13;0;0.4;5.0
SS;5-10-2009;19;12:38;397;nature;10;Turdus merula;4.46;0.19;0.53;0.45;25;1;0.0;5.0
EB;3-17-2009;11;14:59;487;urban;10000;Prunella modularis;2.74;0.10;0.14;0.09;11;6;0.0;4.9
CJ;3-25-2009;12;8:25;111;urban;10000;Turdus merula;4.46;0.10;0.14;0.12;7;4;0.3;4.9
EB;3-19-2009;11;10:54;246;suburb;1000;Turdus merula;4.46;0.09;0.22;0.14;11;6;0.0;4.9
SS;3-19-2009;11;16:02;554;suburb;1000;Turdus merula;4.46;0.01;0.16;0.20;11;6;0.0;4.9
SS;3-27-2009;12;10:30;240;suburb;1000;Turdus merula;4.46;0.10;0.16;0.15;8;4;0.3;4.9
SS;4-4-2009;14;11:21;249;suburb;1000;Turdus philomelos;4.08;0.16;0.21;0.41;18;5;0.2;4.9
SS;4-19-2009;16;9:14;154;suburb;1000;Turdus merula;4.46;0.27;0.25;0.54;6;5;0.1;4.9
SS;4-20-2009;16;15:36;538;nature;10;Turdus merula;4.46;0.28;0.40;0.59;8;5;0.1;4.9
CJ;5-1-2009;17;7:52;95;nature;10;Turdus merula;4.46;0.41;0.39;0.41;13;0;0.4;4.9
EB;5-10-2009;19;8:59;178;nature;10;Turdus philomelos;4.08;0.51;0.44;0.59;20;1;0.0;4.9
SS;5-10-2009;19;12:14;373;nature;10;Turdus merula;4.46;0.27;0.33;0.43;24;1;0.0;4.9
EB;4-7-2009;14;13:45;400;urban;10000;Turdus philomelos;4.08;0.20;0.40;0.44;13;2;0.0;4.8
SS;4-17-2009;15;12:40;356;urban;10000;Pica pica;6.02;0.23;0.36;0.33;10;5;0.1;4.8
SS;5-12-2009;19;8:04;126;urban;10000;Turdus merula;4.46;0.30;0.29;0.67;21;0;0.0;4.8
EB;5-12-2009;19;8:23;145;urban;10000;Turdus philomelos;4.08;0.39;0.57;0.33;22;0;0.0;4.8
SS;3-18-2009;11;11:28;278;rural;100;Turdus merula;4.46;0.13;0.10;0.18;11;6;0.0;4.8
SS;3-26-2009;12;11:49;317;rural;100;Prunella modularis;2.74;0.12;0.07;0.15;9;4;0.3;4.8
SS;4-3-2009;13;9:05;111;rural;100;Turdus merula;4.46;0.14;0.05;0.40;15;5;0.2;4.8
SS;4-3-2009;13;11:05;231;rural;100;Turdus philomelos;4.08;0.34;0.16;0.32;17;5;0.2;4.8
SS;4-8-2009;14;9:22;139;rural;100;Turdus merula;4.46;0.14;0.18;0.28;11;2;0.0;4.8
EB;4-30-2009;17;12:34;376;suburb;1000;Turdus philomelos;4.08;0.35;0.30;0.37;15;0;0.4;4.8
EB;4-30-2009;17;16:06;588;suburb;1000;Columba palumbus;8.04;0.41;0.42;0.44;13;0;0.4;4.8
EB;4-5-2009;14;15:28;498;nature;10;Turdus merula;4.46;0.28;0.41;0.16;18;5;0.2;4.8
CJ;5-10-2009;19;9:46;225;nature;10;Columba palumbus;8.04;0.38;0.20;0.50;22;1;0.0;4.8
EB;5-12-2009;19;13:12;434;urban;10000;Pica pica;6.02;0.32;0.61;0.19;29;0;0.0;4.7
CJ;4-29-2009;17;8:27;127;rural;100;Columba palumbus;8.04;0.17;0.70;0.43;13;0;0.4;4.7
CJ;3-27-2009;12;7:40;70;suburb;1000;Turdus merula;4.46;0.16;0.17;0.19;6;4;0.3;4.7
SS;3-27-2009;12;13:42;432;suburb;1000;Erithacus rubecula;2.62;0.14;0.30;0.29;9;4;0.3;4.7
SS;4-4-2009;14;14:07;415;suburb;1000;Turdus merula;4.46;0.15;0.26;0.25;19;5;0.2;4.7
EB;4-19-2009;16;7:17;37;suburb;1000;Erithacus rubecula;2.62;0.14;0.41;0.52;5;5;0.1;4.7
CJ;4-30-2009;17;15:38;560;suburb;1000;Columba palumbus;8.04;0.39;0.60;0.23;13;0;0.4;4.7
CJ;4-5-2009;14;7:39;29;nature;10;Erithacus rubecula;2.62;0.28;0.20;0.36;14;5;0.2;4.7
EB;4-5-2009;14;8:03;53;nature;10;Turdus philomelos;4.08;0.07;0.39;0.28;14;5;0.2;4.7
SS;4-5-2009;14;11:59;289;nature;10;Erithacus rubecula;2.62;0.18;0.32;0.35;18;5;0.2;4.7
SS;4-5-2009;14;15:22;492;nature;10;Erithacus rubecula;2.62;0.27;0.36;0.30;19;5;0.2;4.7
CJ;4-20-2009;16;11:10;272;nature;10;Turdus philomelos;4.08;0.46;0.50;0.56;7;5;0.1;4.7
SS;4-20-2009;16;16:08;570;nature;10;Turdus philomelos;4.08;0.27;0.38;0.38;8;5;0.1;4.7
EB;4-2-2009;13;11:55;279;urban;10000;Columba palumbus;8.04;0.31;0.34;0.35;19;5;0.2;4.6
CJ;3-18-2009;11;8:58;128;rural;100;Turdus philomelos;4.08;0.13;0.11;0.06;10;6;0.0;4.6
CJ;3-26-2009;12;11:37;305;rural;100;Turdus merula;4.46;0.26;0.20;0.25;9;4;0.3;4.6
SS;4-3-2009;13;11:50;276;rural;100;Turdus merula;4.46;0.08;0.39;0.38;18;5;0.2;4.6
CJ;4-8-2009;14;7:48;45;rural;100;Turdus philomelos;4.08;0.35;0.28;0.12;10;2;0.0;4.6
CJ;4-8-2009;14;13:41;398;rural;100;Turdus philomelos;4.08;0.15;0.27;0.23;13;2;0.0;4.6
EB;4-18-2009;16;9:19;157;rural;100;Pica pica;6.02;0.20;0.49;0.16;6;5;0.1;4.6
SS;5-8-2009;18;10:20;256;rural;100;Pica pica;6.02;0.21;0.68;0.60;23;1;0.0;4.6
EB;5-8-2009;18;11:40;336;rural;100;Columba palumbus;8.04;0.28;0.75;0.42;24;1;0.0;4.6
CJ;5-13-2009;19;13:02;426;rural;100;Columba palumbus;8.04;0.43;0.71;0.41;30;0;0.0;4.6
EB;3-27-2009;12;9:38;188;suburb;1000;Turdus merula;4.46;0.12;0.10;0.14;7;4;0.3;4.6
CJ;5-14-2009;19;7:20;85;suburb;1000;Turdus philomelos;4.08;0.22;0.63;0.90;19;0;0.0;4.6
EB;4-20-2009;16;16:38;600;nature;10;Turdus philomelos;4.08;0.28;0.08;0.39;8;5;0.1;4.6
CJ;4-3-2009;13;11:13;239;rural;100;Erithacus rubecula;2.62;0.22;0.25;0.18;17;5;0.2;4.5
EB;4-8-2009;14;12:01;298;rural;100;Turdus merula;4.46;0.29;0.23;0.19;12;2;0.0;4.5
CJ;4-18-2009;16;10:51;249;rural;100;Turdus merula;4.46;0.21;0.16;0.13;7;5;0.1;4.5
CJ;3-25-2009;12;13:54;440;urban;10000;Turdus philomelos;4.08;0.09;0.30;0.25;9;4;0.3;4.4
CJ;3-25-2009;12;15:50;556;urban;10000;Turdus merula;4.46;0.23;0.21;0.25;9;4;0.3;4.4
EB;4-2-2009;13;7:59;43;urban;10000;Turdus philomelos;4.08;0.23;0.25;0.23;14;5;0.2;4.4
SS;4-7-2009;14;14:41;456;urban;10000;Turdus philomelos;4.08;0.22;0.27;0.39;14;2;0.0;4.4
CJ;4-7-2009;14;15:47;522;urban;10000;Columba palumbus;8.04;0.20;0.15;0.41;12;2;0.0;4.4
EB;4-28-2009;17;9:04;162;urban;10000;Columba palumbus;8.04;0.19;0.64;0.28;13;0;0.4;4.4
EB;4-28-2009;17;9:51;209;urban;10000;Turdus philomelos;4.08;0.30;0.21;0.35;14;0;0.4;4.4
EB;5-7-2009;18;9:30;204;urban;10000;Columba palumbus;8.04;0.35;0.37;0.72;20;1;0.0;4.4
CJ;3-26-2009;12;14:26;474;rural;100;Turdus merula;4.46;0.13;0.25;0.30;9;4;0.3;4.4
CJ;4-3-2009;13;11:56;282;rural;100;Erithacus rubecula;2.62;0.09;0.23;0.23;19;5;0.2;4.4
CJ;4-18-2009;16;11:48;306;rural;100;Turdus philomelos;4.08;0.40;0.44;0.17;9;5;0.1;4.4
CJ;4-29-2009;17;15:23;543;rural;100;Turdus philomelos;4.08;0.17;0.44;0.50;13;0;0.4;4.4
EB;5-8-2009;18;12:12;368;rural;100;Turdus merula;4.46;0.50;0.33;0.57;24;1;0.0;4.4
EB;3-27-2009;12;12:53;383;suburb;1000;Erithacus rubecula;2.62;0.07;0.16;0.26;9;4;0.3;4.4
CJ;4-4-2009;14;10:45;213;suburb;1000;Turdus merula;4.46;0.12;0.30;0.40;17;5;0.2;4.4
CJ;4-4-2009;14;11:33;261;suburb;1000;Erithacus rubecula;2.62;0.13;0.36;0.34;18;5;0.2;4.4
CJ;4-4-2009;14;13:25;373;suburb;1000;Turdus merula;4.46;0.19;0.11;0.34;20;5;0.2;4.4
SS;4-9-2009;14;12:42;341;suburb;1000;Turdus philomelos;4.08;0.43;0.45;0.41;12;2;0.0;4.4
EB;3-25-2009;12;13:48;434;urban;10000;Prunella modularis;2.74;0.13;0.16;0.23;9;4;0.3;4.3
CJ;3-25-2009;12;15:06;512;urban;10000;Turdus merula;4.46;0.14;0.07;0.14;9;4;0.3;4.3
SS;3-18-2009;11;10:13;203;rural;100;Erithacus rubecula;2.62;0.06;0.16;0.10;10;6;0.0;4.3
EB;4-8-2009;14;16:34;571;rural;100;Turdus merula;4.46;0.34;0.06;0.17;12;2;0.0;4.3
CJ;4-29-2009;17;7:57;97;rural;100;Pica pica;6.02;0.58;0.44;0.61;13;0;0.4;4.3
EB;3-19-2009;11;15:03;495;suburb;1000;Turdus merula;4.46;0.06;0.23;0.07;11;6;0.0;4.3
SS;4-4-2009;14;14:01;409;suburb;1000;Erithacus rubecula;2.62;0.21;0.25;0.20;19;5;0.2;4.3
EB;4-19-2009;16;14:19;459;suburb;1000;Turdus philomelos;4.08;0.33;0.34;0.33;9;5;0.1;4.3
CJ;3-28-2009;13;9:16;169;nature;10;Erithacus rubecula;2.62;0.17;0.27;0.26;7;4;0.3;4.3
SS;4-7-2009;14;9:11;126;urban;10000;Erithacus rubecula;2.62;0.34;0.11;0.24;11;2;0.0;4.2
CJ;4-17-2009;15;7:27;43;urban;10000;Prunella modularis;2.74;0.13;0.28;0.32;5;5;0.1;4.2
CJ;4-17-2009;15;16:07;563;urban;10000;Erithacus rubecula;2.62;0.27;0.22;0.33;8;5;0.1;4.2
SS;4-28-2009;17;12:09;347;urban;10000;Columba palumbus;8.04;0.31;0.52;0.52;15;0;0.4;4.2
SS;3-26-2009;12;12:49;377;rural;100;Turdus merula;4.46;0.17;0.21;0.06;9;4;0.3;4.2
CJ;4-29-2009;17;12:58;398;rural;100;Columba palumbus;8.04;0.60;0.39;0.58;15;0;0.4;4.2
CJ;5-8-2009;18;7:41;97;rural;100;Columba palumbus;8.04;0.43;0.43;0.24;18;1;0.0;4.2
SS;3-27-2009;12;11:05;275;suburb;1000;Turdus philomelos;4.08;0.06;0.31;0.30;8;4;0.3;4.2
CJ;4-4-2009;14;13:40;388;suburb;1000;Turdus merula;4.46;0.28;0.14;0.18;20;5;0.2;4.2
CJ;4-9-2009;14;8:16;75;suburb;1000;Prunella modularis;2.74;0.06;0.48;0.32;10;2;0.0;4.2
SS;4-9-2009;14;12:06;305;suburb;1000;Turdus merula;4.46;0.06;0.36;0.19;12;2;0.0;4.2
EB;4-30-2009;17;8:22;124;suburb;1000;Turdus merula;4.46;0.33;0.08;0.57;13;0;0.4;4.2
CJ;3-20-2009;11;10:47;242;nature;10;Erithacus rubecula;2.62;0.04;0.10;0.21;10;6;0.0;4.2
CJ;5-15-2009;19;8:29;155;nature;10;Turdus merula;4.46;0.40;0.44;0.39;24;0;0.0;4.2
SS;3-26-2009;12;7:40;68;rural;100;Prunella modularis;2.74;0.10;0.29;0.14;6;4;0.3;4.1
SS;4-3-2009;13;11:20;246;rural;100;Erithacus rubecula;2.62;0.36;0.24;0.29;17;5;0.2;4.1
CJ;4-18-2009;16;13:52;430;rural;100;Turdus merula;4.46;0.14;0.28;0.19;9;5;0.1;4.1
CJ;4-29-2009;17;15:10;530;rural;100;Turdus merula;4.46;0.22;0.67;0.61;13;0;0.4;4.1
CJ;3-27-2009;12;13:06;396;suburb;1000;Turdus merula;4.46;0.12;0.12;0.20;9;4;0.3;4.1
EB;4-30-2009;17;10:45;267;suburb;1000;Turdus philomelos;4.08;0.20;0.55;0.31;14;0;0.4;4.1
EB;5-9-2009;19;7:33;90;suburb;1000;Pica pica;6.02;0.45;0.49;0.41;17;1;0.0;4.1
EB;3-20-2009;11;8:59;134;nature;10;Erithacus rubecula;2.62;0.06;0.17;0.22;10;6;0.0;4.1
CJ;3-20-2009;11;11:11;266;nature;10;Erithacus rubecula;2.62;0.15;0.17;0.21;11;6;0.0;4.1
SS;4-20-2009;16;11:24;286;nature;10;Turdus merula;4.46;0.34;0.52;0.43;7;5;0.1;4.1
CJ;4-17-2009;15;10:47;243;urban;10000;Columba palumbus;8.04;0.35;0.44;0.14;7;5;0.1;4.0
CJ;3-26-2009;12;15:23;531;rural;100;Turdus merula;4.46;0.27;0.24;0.22;9;4;0.3;4.0
CJ;4-3-2009;13;9:32;138;rural;100;Turdus merula;4.46;0.18;0.09;0.06;16;5;0.2;4.0
SS;4-3-2009;13;11:40;266;rural;100;Turdus merula;4.46;0.35;0.21;0.14;18;5;0.2;4.0
SS;4-8-2009;14;15:17;494;rural;100;Turdus merula;4.46;0.28;0.26;0.42;13;2;0.0;4.0
CJ;4-29-2009;17;8:10;110;rural;100;Turdus philomelos;4.08;0.13;0.55;0.49;13;0;0.4;4.0
CJ;3-19-2009;11;14:26;458;suburb;1000;Turdus merula;4.46;0.08;0.18;0.11;12;6;0.0;4.0
SS;4-4-2009;14;8:37;85;suburb;1000;Turdus merula;4.46;0.13;0.34;0.17;15;5;0.2;4.0
CJ;4-4-2009;14;10:23;191;suburb;1000;Erithacus rubecula;2.62;0.12;0.30;0.37;17;5;0.2;4.0
EB;4-9-2009;14;14:15;434;suburb;1000;Turdus merula;4.46;0.12;0.34;0.27;13;2;0.0;4.0
CJ;4-30-2009;17;13:39;441;suburb;1000;Erithacus rubecula;2.62;0.26;0.35;0.45;15;0;0.4;4.0
SS;3-28-2009;13;16:14;587;nature;10;Turdus merula;4.46;0.15;0.34;0.18;8;4;0.3;4.0
SS;4-5-2009;14;7:18;8;nature;10;Turdus merula;4.46;0.11;0.41;0.40;14;5;0.2;4.0
EB;4-20-2009;16;13:56;438;nature;10;Pica pica;6.02;0.46;0.44;0.38;9;5;0.1;4.0
CJ;4-20-2009;16;16:29;591;nature;10;Turdus merula;4.46;0.07;0.39;0.33;8;5;0.1;4.0
CJ;5-15-2009;19;7:26;92;nature;10;Pica pica;6.02;0.25;0.59;0.48;20;0;0.0;4.0
SS;5-15-2009;19;7:51;117;nature;10;Turdus merula;4.46;0.37;0.66;0.19;21;0;0.0;4.0
EB;5-15-2009;19;8:07;133;nature;10;Columba palumbus;8.04;0.55;0.79;0.68;22;0;0.0;4.0
EB;3-17-2009;11;12:48;356;urban;10000;Prunella modularis;2.74;0.08;0.15;0.17;12;6;0.0;3.9
SS;3-25-2009;12;7:36;62;urban;10000;Turdus merula;4.46;0.13;0.17;0.19;6;4;0.3;3.9
EB;3-25-2009;12;13:23;409;urban;10000;Turdus merula;4.46;0.06;0.09;0.22;9;4;0.3;3.9
CJ;3-18-2009;11;9:17;147;rural;100;Turdus merula;4.46;0.12;0.12;0.07;10;6;0.0;3.9
SS;3-26-2009;12;14:42;490;rural;100;Turdus merula;4.46;0.09;0.31;0.10;10;4;0.3;3.9
EB;4-3-2009;13;7:12;-2;rural;100;Turdus merula;4.46;0.32;0.37;0.38;14;5;0.2;3.9
EB;4-18-2009;16;8:38;116;rural;100;Turdus merula;4.46;0.06;0.08;0.08;6;5;0.1;3.9
EB;3-19-2009;11;7:13;25;suburb;1000;Turdus merula;4.46;0.01;0.09;0.16;8;6;0.0;3.9
CJ;3-27-2009;12;7:11;41;suburb;1000;Prunella modularis;2.74;0.12;0.10;0.12;6;4;0.3;3.9
EB;3-27-2009;12;8:11;101;suburb;1000;Turdus merula;4.46;0.07;0.20;0.29;6;4;0.3;3.9
CJ;4-19-2009;16;9:43;183;suburb;1000;Turdus merula;4.46;0.18;0.37;0.42;6;5;0.1;3.9
CJ;4-30-2009;17;11:01;283;suburb;1000;Turdus merula;4.46;0.26;0.30;0.30;14;0;0.4;3.9
CJ;4-30-2009;17;13:09;411;suburb;1000;Turdus merula;4.46;0.07;0.40;0.50;15;0;0.4;3.9
SS;5-14-2009;19;7:43;108;suburb;1000;Turdus philomelos;4.08;0.19;0.62;0.49;20;0;0.0;3.9
CJ;3-20-2009;11;11:28;283;nature;10;Erithacus rubecula;2.62;0.11;0.15;0.12;11;6;0.0;3.9
EB;3-20-2009;11;15:41;536;nature;10;Turdus merula;4.46;0.15;0.10;0.14;11;6;0.0;3.9
EB;3-28-2009;13;15:16;529;nature;10;Erithacus rubecula;2.62;0.17;0.14;0.24;10;4;0.3;3.9
CJ;4-10-2009;14;14:57;478;nature;10;Prunella modularis;2.74;0.20;0.30;0.40;14;2;0.0;3.9
EB;4-10-2009;14;15:56;537;nature;10;Turdus merula;4.46;0.32;0.34;0.42;12;2;0.0;3.9
