observer;date;weeknr;time;after_sunrise;area;visitordensity;species;size;herb_cover;shrub_cover;tree_cover;temp;wind;rain;FID
CJ;3-27-2009;12;16:43;613;suburb;1000;Columba palumbus;8.04;0.10;0.25;0.24;8;4;0.3;13.8
EB;3-20-2009;11;11:02;257;nature;10;Columba palumbus;8.04;0.09;0.04;0.19;11;6;0.0;13.7
SS;3-28-2009;13;14:48;501;nature;10;Columba palumbus;8.04;0.20;0.25;0.22;9;4;0.3;13.7
SS;4-17-2009;15;9:30;166;urban;10000;Columba palumbus;8.04;0.19;0.45;0.55;6;5;0.1;13.6
SS;3-17-2009;11;15:58;546;urban;10000;Columba palumbus;8.04;0.07;0.18;0.15;10;6;0.0;13.5
EB;3-25-2009;12;7:44;70;urban;10000;Columba palumbus;8.04;0.16;0.17;0.22;6;4;0.3;13.5
SS;4-4-2009;14;10:54;222;suburb;1000;Columba palumbus;8.04;0.05;0.14;0.37;17;5;0.2;13.5
SS;3-20-2009;11;12:47;362;nature;10;Pica pica;6.02;0.04;0.19;0.16;11;6;0.0;13.4
EB;4-10-2009;14;8:57;118;nature;10;Turdus merula;4.46;0.09;0.21;0.36;10;2;0.0;13.4
EB;3-25-2009;12;9:09;155;urban;10000;Columba palumbus;8.04;0.05;0.21;0.22;7;4;0.3;13.3
EB;4-2-2009;13;14:00;404;urban;10000;Columba palumbus;8.04;0.13;0.34;0.15;20;5;0.2;13.3
EB;3-18-2009;11;7:34;44;rural;100;Turdus merula;4.46;0.08;0.13;0.12;8;6;0.0;13.2
EB;4-8-2009;14;15:55;532;rural;100;Columba palumbus;8.04;0.14;0.15;0.16;13;2;0.0;13.2
CJ;4-2-2009;13;14:42;446;urban;10000;Pica pica;6.02;0.17;0.15;0.19;19;5;0.2;13.0
SS;3-26-2009;12;16:01;569;rural;100;Columba palumbus;8.04;0.20;0.10;0.21;8;4;0.3;13.0
CJ;3-27-2009;12;15:34;544;suburb;1000;Columba palumbus;8.04;0.05;0.14;0.20;10;4;0.3;13.0
EB;4-19-2009;16;14:11;451;suburb;1000;Columba palumbus;8.04;0.17;0.27;0.61;9;5;0.1;13.0
SS;4-20-2009;16;15:21;523;nature;10;Columba palumbus;8.04;0.35;0.34;0.52;9;5;0.1;12.9
SS;4-7-2009;14;9:54;169;urban;10000;Columba palumbus;8.04;0.15;0.22;0.42;11;2;0.0;12.8
EB;3-18-2009;11;8:09;79;rural;100;Turdus philomelos;4.08;0.15;0.18;0.16;9;6;0.0;12.8
CJ;4-3-2009;13;15:35;501;rural;100;Turdus merula;4.46;0.07;0.27;0.34;18;5;0.2;12.8
EB;3-19-2009;11;11:17;269;suburb;1000;Turdus philomelos;4.08;0.07;0.11;0.09;11;6;0.0;12.8
CJ;3-27-2009;12;8:58;148;suburb;1000;Turdus philomelos;4.08;0.13;0.23;0.21;7;4;0.3;12.8
SS;3-20-2009;11;12:34;349;nature;10;Turdus merula;4.46;0.02;0.16;0.13;11;6;0.0;12.8
SS;4-2-2009;13;11:35;259;urban;10000;Columba palumbus;8.04;0.03;0.12;0.17;18;5;0.2;12.7
CJ;3-20-2009;11;13:02;377;nature;10;Turdus philomelos;4.08;0.07;0.19;0.10;12;6;0.0;12.7
EB;3-20-2009;11;13:35;410;nature;10;Pica pica;6.02;0.13;0.07;0.23;12;6;0.0;12.7
SS;3-28-2009;13;8:54;147;nature;10;Turdus philomelos;4.08;0.06;0.29;0.24;7;4;0.3;12.7
CJ;3-28-2009;13;16:38;611;nature;10;Columba palumbus;8.04;0.04;0.13;0.27;8;4;0.3;12.7
EB;3-18-2009;11;11:03;253;rural;100;Turdus merula;4.46;0.06;0.03;0.20;11;6;0.0;12.6
SS;3-26-2009;12;9:19;167;rural;100;Turdus merula;4.46;0.06;0.22;0.21;7;4;0.3;12.6
EB;3-27-2009;12;11:16;286;suburb;1000;Columba palumbus;8.04;0.15;0.25;0.19;9;4;0.3;12.6
EB;3-28-2009;13;14:56;509;nature;10;Columba palumbus;8.04;0.16;0.27;0.15;9;4;0.3;12.6
EB;3-26-2009;12;8:45;133;rural;100;Turdus philomelos;4.08;0.03;0.29;0.16;7;4;0.3;12.5
CJ;4-29-2009;17;13:28;428;rural;100;Columba palumbus;8.04;0.05;0.31;0.42;15;0;0.4;12.5
CJ;4-5-2009;14;8:28;78;nature;10;Turdus merula;4.46;0.33;0.24;0.37;15;5;0.2;12.5
SS;4-5-2009;14;12:32;322;nature;10;Turdus philomelos;4.08;0.07;0.33;0.17;19;5;0.2;12.5
CJ;3-25-2009;12;11:20;286;urban;10000;Pica pica;6.02;0.15;0.17;0.20;8;4;0.3;12.4
SS;3-20-2009;11;8:19;94;nature;10;Turdus merula;4.46;0.16;0.03;0.18;9;6;0.0;12.4
SS;3-20-2009;11;12:56;371;nature;10;Turdus merula;4.46;0.18;0.14;0.09;11;6;0.0;12.4
CJ;3-28-2009;13;13:54;447;nature;10;Erithacus rubecula;2.62;0.28;0.20;0.28;9;4;0.3;12.3
SS;4-29-2009;17;14:55;515;rural;100;Turdus merula;4.46;0.28;0.25;0.74;14;0;0.4;12.0
CJ;3-27-2009;12;11:57;327;suburb;1000;Turdus philomelos;4.08;0.16;0.25;0.20;10;4;0.3;12.0
CJ;4-9-2009;14;15:20;499;suburb;1000;Turdus philomelos;4.08;0.12;0.16;0.23;13;2;0.0;12.0
EB;5-1-2009;17;15:46;569;nature;10;Columba palumbus;8.04;0.08;0.36;0.34;13;0;0.4;12.0
EB;4-4-2009;14;14:22;430;suburb;1000;Pica pica;6.02;0.11;0.16;0.10;18;5;0.2;11.9
SS;3-20-2009;11;13:13;388;nature;10;Columba palumbus;8.04;0.13;0.13;0.09;12;6;0.0;11.9
CJ;3-20-2009;11;16:14;569;nature;10;Columba palumbus;8.04;0.06;0.15;0.19;10;6;0.0;11.9
EB;3-26-2009;12;15:01;509;rural;100;Columba palumbus;8.04;0.23;0.26;0.09;9;4;0.3;11.8
EB;4-3-2009;13;12:17;303;rural;100;Turdus merula;4.46;0.12;0.13;0.33;19;5;0.2;11.8
CJ;3-27-2009;12;7:59;89;suburb;1000;Pica pica;6.02;0.03;0.19;0.29;6;4;0.3;11.8
EB;5-1-2009;17;13:20;423;nature;10;Columba palumbus;8.04;0.29;0.51;0.22;15;0;0.4;11.8
EB;3-18-2009;11;7:08;18;rural;100;Pica pica;6.02;0.09;0.16;0.15;8;6;0.0;11.7
EB;3-27-2009;12;10:46;256;suburb;1000;Columba palumbus;8.04;0.09;0.23;0.09;8;4;0.3;11.7
CJ;4-5-2009;14;9:11;121;nature;10;Turdus philomelos;4.08;0.19;0.35;0.33;16;5;0.2;11.7
CJ;4-10-2009;14;14:12;433;nature;10;Pica pica;6.02;0.03;0.17;0.30;13;2;0.0;11.6
CJ;3-18-2009;11;11:23;273;rural;100;Columba palumbus;8.04;0.09;0.15;0.13;11;6;0.0;11.5
EB;4-3-2009;13;13:23;369;rural;100;Columba palumbus;8.04;0.24;0.15;0.08;20;5;0.2;11.5
CJ;3-19-2009;11;13:52;424;suburb;1000;Columba palumbus;8.04;0.14;0.09;0.11;12;6;0.0;11.5
SS;5-12-2009;19;8:47;169;urban;10000;Columba palumbus;8.04;0.37;0.39;0.25;24;0;0.0;11.4
EB;3-20-2009;11;14:08;443;nature;10;Columba palumbus;8.04;0.11;0.20;0.21;12;6;0.0;11.4
CJ;4-10-2009;14;7:46;47;nature;10;Turdus merula;4.46;0.20;0.33;0.22;9;2;0.0;11.4
CJ;3-26-2009;12;8:23;111;rural;100;Columba palumbus;8.04;0.16;0.11;0.18;7;4;0.3;11.2
CJ;4-9-2009;14;9:02;121;suburb;1000;Columba palumbus;8.04;0.11;0.20;0.19;10;2;0.0;11.1
CJ;3-28-2009;13;11:59;332;nature;10;Columba palumbus;8.04;0.15;0.20;0.13;10;4;0.3;11.1
EB;4-10-2009;14;12:05;306;nature;10;Turdus philomelos;4.08;0.10;0.19;0.47;12;2;0.0;11.1
SS;3-25-2009;12;8:55;141;urban;10000;Columba palumbus;8.04;0.15;0.07;0.15;7;4;0.3;11.0
SS;3-25-2009;12;17:02;628;urban;10000;Columba palumbus;8.04;0.01;0.16;0.15;8;4;0.3;11.0
EB;4-19-2009;16;8:15;95;suburb;1000;Erithacus rubecula;2.62;0.06;0.08;0.30;5;5;0.1;11.0
CJ;4-30-2009;17;8:01;103;suburb;1000;Columba palumbus;8.04;0.25;0.38;0.48;13;0;0.4;11.0
SS;3-20-2009;11;14:01;436;nature;10;Turdus merula;4.46;0.01;0.11;0.12;12;6;0.0;11.0
EB;3-28-2009;13;13:22;415;nature;10;Turdus merula;4.46;0.17;0.14;0.29;9;4;0.3;11.0
CJ;3-28-2009;13;7:36;69;nature;10;Pica pica;6.02;0.09;0.11;0.25;6;4;0.3;10.9
CJ;4-20-2009;16;7:30;52;nature;10;Pica pica;6.02;0.12;0.40;0.55;5;5;0.1;10.9
EB;5-1-2009;17;13:14;417;nature;10;Pica pica;6.02;0.19;0.36;0.53;15;0;0.4;10.9
CJ;3-18-2009;11;12:02;312;rural;100;Turdus merula;4.46;0.08;0.11;0.06;11;6;0.0;10.8
SS;5-8-2009;18;9:11;187;rural;100;Columba palumbus;8.04;0.45;0.22;0.78;20;1;0.0;10.8
EB;3-19-2009;11;13:30;402;suburb;1000;Columba palumbus;8.04;0.05;0.13;0.18;12;6;0.0;10.8
CJ;3-20-2009;11;8:05;80;nature;10;Turdus merula;4.46;0.09;0.19;0.08;9;6;0.0;10.8
EB;3-28-2009;13;9:08;161;nature;10;Turdus philomelos;4.08;0.03;0.19;0.27;7;4;0.3;10.8
CJ;3-28-2009;13;12:13;346;nature;10;Turdus merula;4.46;0.11;0.25;0.15;10;4;0.3;10.8
CJ;3-28-2009;13;12:39;372;nature;10;Turdus merula;4.46;0.21;0.18;0.30;10;4;0.3;10.8
CJ;4-5-2009;14;15:02;472;nature;10;Columba palumbus;8.04;0.27;0.36;0.11;19;5;0.2;10.8
EB;4-20-2009;16;13:47;429;nature;10;Turdus merula;4.46;0.14;0.05;0.31;10;5;0.1;10.8
CJ;4-7-2009;14;12:37;332;urban;10000;Pica pica;6.02;0.12;0.43;0.27;12;2;0.0;10.7
EB;3-17-2009;11;11:52;300;urban;10000;Pica pica;6.02;0.10;0.17;0.15;11;6;0.0;10.6
SS;3-18-2009;11;8:42;112;rural;100;Turdus merula;4.46;0.14;0.03;0.13;9;6;0.0;10.6
EB;4-8-2009;14;14:02;419;rural;100;Columba palumbus;8.04;0.14;0.18;0.17;13;2;0.0;10.6
SS;4-30-2009;17;9:20;182;suburb;1000;Columba palumbus;8.04;0.22;0.47;0.66;13;0;0.4;10.6
CJ;4-8-2009;14;15:31;508;rural;100;Turdus philomelos;4.08;0.28;0.39;0.42;13;2;0.0;10.5
SS;4-18-2009;16;12:35;353;rural;100;Columba palumbus;8.04;0.36;0.28;0.32;10;5;0.1;10.5
EB;3-27-2009;12;12:15;345;suburb;1000;Prunella modularis;2.74;0.16;0.07;0.15;10;4;0.3;10.5
EB;3-20-2009;11;15:00;495;nature;10;Turdus philomelos;4.08;0.07;0.18;0.16;11;6;0.0;10.5
CJ;3-28-2009;13;7:25;58;nature;10;Pica pica;6.02;0.07;0.23;0.14;6;4;0.3;10.5
CJ;3-26-2009;12;13:13;401;rural;100;Columba palumbus;8.04;0.15;0.25;0.25;9;4;0.3;10.4
SS;4-18-2009;16;7:18;36;rural;100;Columba palumbus;8.04;0.34;0.29;0.46;5;5;0.1;10.4
CJ;3-19-2009;11;11:39;291;suburb;1000;Turdus philomelos;4.08;0.14;0.13;0.16;11;6;0.0;10.4
SS;3-27-2009;12;16:25;595;suburb;1000;Turdus merula;4.46;0.22;0.04;0.13;8;4;0.3;10.4
CJ;4-9-2009;14;10:09;188;suburb;1000;Turdus merula;4.46;0.11;0.21;0.19;11;2;0.0;10.4
EB;4-20-2009;16;14:54;496;nature;10;Columba palumbus;8.04;0.36;0.36;0.29;9;5;0.1;10.4
CJ;4-7-2009;14;11:27;262;urban;10000;Pica pica;6.02;0.16;0.17;0.11;12;2;0.0;10.3
EB;3-26-2009;12;12:44;372;rural;100;Turdus philomelos;4.08;0.06;0.18;0.05;10;4;0.3;10.3
CJ;4-8-2009;14;11:07;244;rural;100;Turdus philomelos;4.08;0.15;0.19;0.31;11;2;0.0;10.3
CJ;4-29-2009;17;12:02;342;rural;100;Turdus merula;4.46;0.40;0.21;0.28;15;0;0.4;10.3
EB;3-28-2009;13;11:28;301;nature;10;Pica pica;6.02;0.22;0.18;0.17;9;4;0.3;10.3
EB;4-10-2009;14;9:30;151;nature;10;Columba palumbus;8.04;0.28;0.30;0.19;11;2;0.0;10.3
CJ;3-18-2009;11;11:15;265;rural;100;Turdus philomelos;4.08;0.08;0.12;0.11;11;6;0.0;10.2
SS;4-29-2009;17;14:25;485;rural;100;Columba palumbus;8.04;0.40;0.16;0.59;14;0;0.4;10.2
CJ;3-17-2009;11;12:12;320;urban;10000;Columba palumbus;8.04;0.08;0.10;0.06;11;6;0.0;10.1
EB;4-9-2009;14;9:34;153;suburb;1000;Columba palumbus;8.04;0.22;0.33;0.20;11;2;0.0;10.1
SS;4-5-2009;14;15:38;508;nature;10;Turdus merula;4.46;0.30;0.15;0.40;18;5;0.2;10.1
EB;4-10-2009;14;13:06;367;nature;10;Turdus philomelos;4.08;0.28;0.32;0.35;12;2;0.0;10.1
EB;4-2-2009;13;10:15;179;urban;10000;Turdus philomelos;4.08;0.08;0.26;0.33;16;5;0.2;10.0
EB;4-3-2009;13;11:27;253;rural;100;Pica pica;6.02;0.05;0.28;0.23;17;5;0.2;10.0
EB;4-18-2009;16;9:33;171;rural;100;Columba palumbus;8.04;0.19;0.17;0.49;7;5;0.1;10.0
CJ;4-10-2009;14;15:26;507;nature;10;Columba palumbus;8.04;0.18;0.39;0.19;13;2;0.0;10.0
EB;4-9-2009;14;15:43;522;suburb;1000;Columba palumbus;8.04;0.10;0.08;0.40;13;2;0.0;9.9
EB;3-28-2009;13;16:00;573;nature;10;Turdus merula;4.46;0.21;0.31;0.32;8;4;0.3;9.9
CJ;5-1-2009;17;13:01;404;nature;10;Turdus merula;4.46;0.23;0.25;0.46;15;0;0.4;9.9
EB;5-10-2009;19;12:05;364;nature;10;Columba palumbus;8.04;0.06;0.62;0.61;24;1;0.0;9.9
SS;3-18-2009;11;13:17;387;rural;100;Columba palumbus;8.04;0.10;0.13;0.12;12;6;0.0;9.8
SS;3-26-2009;12;15:30;538;rural;100;Turdus philomelos;4.08;0.04;0.04;0.07;8;4;0.3;9.8
SS;5-9-2009;19;12:16;373;suburb;1000;Turdus merula;4.46;0.29;0.18;0.32;24;1;0.0;9.8
CJ;3-20-2009;11;11:47;302;nature;10;Pica pica;6.02;0.11;0.14;0.06;11;6;0.0;9.8
CJ;3-18-2009;11;8:24;94;rural;100;Pica pica;6.02;0.07;0.10;0.06;9;6;0.0;9.7
EB;3-26-2009;12;9:04;152;rural;100;Turdus philomelos;4.08;0.15;0.16;0.09;7;4;0.3;9.7
CJ;4-8-2009;14;11:41;278;rural;100;Columba palumbus;8.04;0.23;0.30;0.35;12;2;0.0;9.7
SS;5-13-2009;19;9:49;233;rural;100;Columba palumbus;8.04;0.12;0.40;0.78;27;0;0.0;9.7
CJ;5-9-2009;19;8:16;133;suburb;1000;Prunella modularis;2.74;0.24;0.22;0.52;19;1;0.0;9.7
EB;3-20-2009;11;11:19;274;nature;10;Turdus merula;4.46;0.14;0.11;0.09;11;6;0.0;9.7
EB;4-5-2009;14;13:44;394;nature;10;Turdus merula;4.46;0.13;0.32;0.38;20;5;0.2;9.7
CJ;3-25-2009;12;14:15;461;urban;10000;Columba palumbus;8.04;0.17;0.16;0.20;9;4;0.3;9.6
CJ;3-19-2009;11;15:42;534;suburb;1000;Columba palumbus;8.04;0.07;0.05;0.14;11;6;0.0;9.6
SS;4-5-2009;14;9:31;141;nature;10;Turdus philomelos;4.08;0.24;0.25;0.21;16;5;0.2;9.6
EB;4-5-2009;14;14:22;432;nature;10;Turdus merula;4.46;0.17;0.30;0.23;20;5;0.2;9.6
CJ;5-13-2009;19;9:00;184;rural;100;Turdus merula;4.46;0.13;0.25;0.43;24;0;0.0;9.5
SS;3-27-2009;12;15:13;523;suburb;1000;Turdus merula;4.46;0.09;0.28;0.20;9;4;0.3;9.5
CJ;4-9-2009;14;13:56;415;suburb;1000;Pica pica;6.02;0.05;0.31;0.13;13;2;0.0;9.5
SS;3-28-2009;13;14:09;462;nature;10;Columba palumbus;8.04;0.21;0.23;0.23;9;4;0.3;9.5
EB;4-5-2009;14;10:30;200;nature;10;Turdus merula;4.46;0.06;0.38;0.44;16;5;0.2;9.5
EB;5-1-2009;17;12:05;348;nature;10;Pica pica;6.02;0.23;0.37;0.43;14;0;0.4;9.5
SS;4-2-2009;13;10:07;171;urban;10000;Columba palumbus;8.04;0.11;0.25;0.33;16;5;0.2;9.4
SS;3-26-2009;12;15:10;518;rural;100;Turdus merula;4.46;0.15;0.19;0.22;9;4;0.3;9.4
CJ;3-28-2009;13;10:29;242;nature;10;Turdus merula;4.46;0.10;0.18;0.26;8;4;0.3;9.4
EB;4-5-2009;14;14:52;462;nature;10;Erithacus rubecula;2.62;0.21;0.17;0.40;19;5;0.2;9.4
SS;4-2-2009;13;13:51;395;urban;10000;Columba palumbus;8.04;0.07;0.33;0.37;20;5;0.2;9.3
EB;3-19-2009;11;10:44;236;suburb;1000;Columba palumbus;8.04;0.09;0.16;0.18;11;6;0.0;9.3
SS;4-4-2009;14;8:13;61;suburb;1000;Columba palumbus;8.04;0.17;0.30;0.36;15;5;0.2;9.3
SS;4-5-2009;14;8:43;93;nature;10;Turdus merula;4.46;0.09;0.31;0.38;15;5;0.2;9.3
EB;4-10-2009;14;16:06;547;nature;10;Pica pica;6.02;0.21;0.10;0.40;12;2;0.0;9.3
CJ;5-1-2009;17;12:40;383;nature;10;Erithacus rubecula;2.62;0.12;0.28;0.27;15;0;0.4;9.3
SS;3-17-2009;11;12:40;348;urban;10000;Columba palumbus;8.04;0.06;0.20;0.07;11;6;0.0;9.2
CJ;4-29-2009;17;11:51;331;rural;100;Pica pica;6.02;0.13;0.29;0.40;15;0;0.4;9.2
CJ;4-29-2009;17;13:22;422;rural;100;Columba palumbus;8.04;0.18;0.55;0.54;15;0;0.4;9.2
